,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4641,4,2.0,1.5,2.0,100.0,4,40,20
3432,3,0.0,1.0,1.0,130.0,91,1125,1
744,2,1.0,1.0,1.0,95.0,2,180,56
3724,2,1.0,1.0,1.0,130.0,7,20,53
3622,4,2.0,1.0,2.0,80.0,2,15,1
6980,3,1.0,1.0,1.0,130.0,1,1125,24
5812,2,0.0,1.0,1.0,65.0,2,1125,5
5347,4,2.0,1.0,2.0,190.0,91,1125,1
7517,2,0.0,1.0,1.0,42.0,2,15,44
3017,2,1.0,1.0,1.0,46.0,3,1125,32
5740,3,2.0,1.0,2.0,200.0,5,1125,1
2933,5,2.0,1.0,2.0,129.0,5,1125,20
3394,4,2.0,2.0,3.0,84.0,2,6,0
6759,2,1.0,1.0,1.0,110.0,5,1125,7
2199,4,3.0,1.0,3.0,220.0,7,30,0
7405,1,1.0,1.0,1.0,45.0,3,1125,1
6479,2,1.0,1.0,1.0,85.0,2,6,23
2177,5,2.0,1.0,3.0,220.0,1,365,177
7757,2,0.0,1.0,1.0,75.0,7,1125,0
3410,3,1.0,1.0,2.0,350.0,45,90,19
4067,4,2.0,2.0,3.0,200.0,3,1125,198
5684,2,0.0,1.0,2.0,70.0,5,1125,120
6918,2,0.0,1.0,1.0,52.0,3,1125,19
7818,2,1.0,1.0,1.0,42.0,3,1125,121
4531,2,1.0,1.0,1.0,69.0,2,7,4
1827,4,1.0,1.0,2.0,60.0,3,1125,3
7450,2,1.0,1.0,1.0,50.0,2,1125,0
2287,2,1.0,1.5,1.0,75.0,1,365,313
5129,4,1.0,1.0,1.0,50.0,2,4,2
3145,2,0.0,1.0,1.0,70.0,3,90,287
2441,6,3.0,2.0,3.0,190.0,7,1125,10
845,3,2.0,1.0,2.0,200.0,2,1125,5
3045,4,1.0,1.0,2.0,120.0,4,31,9
4464,2,1.0,1.0,1.0,59.0,3,30,18
910,1,1.0,1.0,1.0,57.0,3,10,69
270,2,1.0,1.0,1.0,79.0,2,30,34
7977,2,1.0,1.0,1.0,85.0,5,14,9
6212,4,2.0,1.0,3.0,150.0,4,1125,10
967,2,1.0,1.0,1.0,45.0,7,60,16
5886,4,1.0,1.0,1.0,150.0,4,1125,0
5930,5,2.0,1.5,3.0,350.0,1,1125,25
112,3,2.0,1.5,2.0,130.0,7,100,16
